,city_code,city,pre_code
0,13218,福生市,13
1,10209,藤岡市,10
2,8364,大子町,8
3,8225,常陸大宮市,8
5,8226,那珂市,8
8,8221,ひたちなか市,8
10,8201,水戸市,8
11,9203,栃木市,9
15,9202,足利市,9
18,10202,高崎市,10
19,10208,渋川市,10
28,13212,日野市,13
29,13209,町田市,13
30,14152,相模原市 中央区,14
31,13113,渋谷区,13
33,14216,座間市,14
36,13224,多摩市,13
40,14153,相模原市 南区,14
41,13115,杉並区,13
43,13204,三鷹市,13
45,11208,所沢市,11
46,13208,調布市,13
48,13111,大田区,13
50,13109,品川区,13
51,13205,青梅市,13
54,13112,世田谷区,13
55,13206,府中市,13
59,14133,川崎市 中原区,14
61,12231,印西市,12
62,8208,龍ケ崎市,8
63,12222,我孫子市,12
65,11231,桶川市,11
68,12329,栄町,12
85,14132,川崎市 幸区,14
104,13227,羽村市,13
105,11233,北本市,11
106,14131,川崎市 川崎区,14
107,14135,川崎市 多摩区,14
116,13110,目黒区,13
122,14137,川崎市 麻生区,14
125,14113,横浜市 緑区,14
126,19213,甲州市,19
128,11201,川越市,11
129,12237,山武市,12
130,13119,板橋区,13
144,12211,成田市,12
151,11202,熊谷市,11
155,11241,鶴ヶ島市,11
156,11326,毛呂山町,11
165,8205,石岡市,8
181,14134,川崎市 高津区,14
192,14151,相模原市 緑区,14
198,7367,只見町,7
200,8236,小美玉市,8
204,13122,葛飾区,13
206,15225,魚沼市,15
208,11210,加須市,11
209,19206,大月市,19
232,12236,香取市,12
236,13201,八王子市,13
244,11238,蓮田市,11
250,13116,豊島区,13
255,7444,三島町,7
266,9205,鹿沼市,9
280,14101,横浜市 鶴見区,14
286,11102,さいたま市 北区,11
287,19214,中央市,19
290,14117,横浜市 青葉区,14
293,9204,佐野市,9
295,13228,あきる野市,13
303,13202,立川市,13
341,12410,横芝光町,12
343,12230,八街市,12
344,12202,銚子市,12
345,12215,旭市,12
348,12235,匝瑳市,12
357,11239,坂戸市,11
373,14213,大和市,14
379,13108,江東区,13
394,13117,北区,13
395,10421,中之条町,10
398,10429,東吾妻町,10
400,10211,安中市,10
402,9201,宇都宮市,9
413,8216,笠間市,8
423,11206,行田市,11
424,9343,茂木町,9
468,8207,結城市,8
469,9208,小山市,9
471,12204,船橋市,12
478,11212,東松山市,11
508,7445,金山町,7
509,7447,会津美里町,7
512,7202,会津若松市,7
515,7362,下郷町,7
522,12103,千葉市 稲毛区,12
525,12203,市川市,12
528,13214,国分寺市,13
531,11101,さいたま市 西区,11
542,8212,常陸太田市,8
559,9407,那須町,9
560,11211,本庄市,11
563,13308,奥多摩町,13
578,12212,佐倉市,12
579,12322,酒々井町,12
591,8219,牛久市,8
592,8217,取手市,8
595,12228,四街道市,12
596,13123,江戸川区,13
597,19204,都留市,19
607,13118,荒川区,13
610,12220,流山市,12
611,12207,松戸市,12
616,12221,八千代市,12
619,11214,春日部市,11
623,7204,いわき市,7
624,7522,小野町,7
625,7211,田村市,7
633,7521,三春町,7
638,7203,郡山市,7
645,7504,浅川町,7
646,7207,須賀川市,7
649,7502,玉川村,7
653,7501,石川町,7
656,7481,棚倉町,7
665,7482,矢祭町,7
692,7483,塙町,7
717,7368,南会津町,7
719,7214,本宮市,7
720,7205,白河市,7
724,7342,鏡石町,7
727,9211,矢板市,9
732,9213,那須塩原市,9
734,9214,さくら市,9
736,9364,野木町,9
738,11232,久喜市,11
745,7547,浪江町,7
748,8215,北茨城市,8
752,8214,高萩市,8
753,8202,日立市,8
764,9215,那須烏山市,9
769,9206,日光市,9
775,8227,筑西市,8
803,10212,みどり市,10
805,10204,伊勢崎市,10
807,10203,桐生市,10
818,15202,長岡市,15
819,20305,南牧村,20
820,15208,小千谷市,15
821,15226,南魚沼市,15
837,13215,国立市,13
840,10449,みなかみ町,10
841,10206,沼田市,10
846,19201,甲府市,19
847,19205,山梨市,19
857,19211,笛吹市,19
858,10345,吉岡町,10
860,9361,壬生町,9
905,11464,杉戸町,11
909,10521,板倉町,10
916,19384,昭和町,19
924,13211,小平市,13
925,11209,飯能市,11
927,15205,柏崎市,15
928,8234,鉾田市,8
941,11225,入間市,11
961,13203,武蔵野市,13
976,11327,越生町,11
979,11408,寄居町,11
989,11381,美里町,11
995,13303,瑞穂町,13
996,11242,日高市,11
1001,13207,昭島市,13
1002,11343,小川町,11
1015,11349,ときがわ町,11
1021,11383,神川町,11
1027,13221,清瀬市,13
1045,14109,横浜市 港北区,14
1051,10205,太田市,10
1057,10207,館林市,10
1059,13121,足立区,13
1065,11222,越谷市,11
1081,7541,広野町,7
1088,10210,富岡市,10
1090,10384,甘楽町,10
1093,10382,下仁田町,10
1098,10201,前橋市,10
1119,12217,柏市,12
1123,13107,墨田区,13
1168,13229,西東京市,13
1174,13104,新宿区,13
1175,13213,東村山市,13
1177,11215,狭山市,11
1178,13120,練馬区,13
1207,12342,神崎町,12
1214,12349,東庄町,12
1226,12224,鎌ケ谷市,12
1230,10522,明和町,10
1252,8210,下妻市,8
1253,8211,常総市,8
1258,8235,つくばみらい市,8
1263,8224,守谷市,8
1267,11245,ふじみ野市,11
1286,11218,深谷市,11
1287,11217,鴻巣市,11
1303,11216,羽生市,11
1311,11362,皆野町,11
1315,11207,秩父市,11
1322,11363,長瀞町,11
1368,8230,かすみがうら市,8
1371,11240,幸手市,11
1374,13210,小金井市,13
1375,11246,白岡市,11
1376,11341,滑川町,11
1390,11103,さいたま市 大宮区,11
1402,13114,中野区,13
1454,12216,習志野市,12
1473,11230,新座市,11
1495,8203,土浦市,8
1521,11235,富士見市,11
1570,9209,真岡市,9
1572,9342,益子町,9
1583,9344,市貝町,9
1656,10524,大泉町,10
1662,10525,邑楽町,10
1690,8341,東海村,8
1696,11442,宮代町,11
1700,13222,東久留米市,13
1702,8222,鹿嶋市,8
1714,9386,高根沢町,9
1746,20602,栄村,20
1757,11104,さいたま市 見沼区,11
1761,11219,上尾市,11
1808,7542,楢葉町,7
1880,7464,泉崎村,7
1890,19202,富士吉田市,19
1917,20304,川上村,20
1930,8443,阿見町,8
2018,7466,矢吹町,7
2049,11110,さいたま市 岩槻区,11
2056,12208,野田市,12
2192,12219,市原市,12
2206,19346,市川三郷町,19
2254,15482,津南町,15
2256,15210,十日町市,15
2263,20321,軽井沢町,20
2284,19210,甲斐市,19
2538,19423,西桂町,19
2602,12104,千葉市 若葉区,12
2635,12239,大網白里市,12
2637,12213,東金市,12
2678,12101,千葉市 中央区,12
2888,20213,飯山市,20
2933,12105,千葉市 緑区,12
3144,10425,嬬恋村,10
3353,9210,大田原市,9
3447,8231,桜川市,8
3454,8232,神栖市,8
3559,12227,浦安市,12
3712,15405,出雲崎町,15
3795,14102,横浜市 神奈川区,14
3805,15461,湯沢町,15
3821,7408,猪苗代町,7
4053,12102,千葉市 花見川区,12
4126,13220,東大和市,13
4409,11342,嵐山町,11
4545,11385,上里町,11
4549,9216,下野市,9
4981,11228,志木市,11
5032,8204,古河市,8
5159,7461,西郷村,7
5182,9301,上三川町,9
5210,19212,上野原市,19
5245,13101,千代田区,13
5270,7545,大熊町,7
5389,15504,刈羽村,15
5518,10424,長野原町,10
5644,11227,朝霞市,11
